tse_id,url,NM_UE,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
PB-05566/2020,http://aryelaquino.com.br/,MANAÍRA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB-03242/2020,https://www.patosonline.com/pb-agora-datavox-lenildo-morais-e-lider-em-rejeicao-com-225-na-disputa-em-patos/,PATOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB-03242/2020,https://www.conceicaopbonline.com/2020/10/pb-agoradatavox-nabor-lidera-disputa-em.html,PATOS,1,P,0,,,NABOR WANDERLEY,"45,3",JUIZ RAMONILSON,34,LENILDO MORAIS,"4,5",,,,,,,,,,,,,,,,,,,,,,,,,
PB-03242/2020,https://www.conceicaopbonline.com/2020/10/pb-agoradatavox-nabor-lidera-disputa-em.html,PATOS,1,P,1,,,NABOR WANDERLEY,"39,8",JUIZ RAMONILSON,"33,7",LENILDO MORAIS,"8,5",HEBER ADVOGADO,1,,,,,,,,,,,,,,,,,,,,,,,
PE-09853/2020,https://www.portalagresteviolento.com.br/2020/10/09/nivaldo-tirri-abre-larga-vantagem-sobre-o-irmao-naldinho-em-caetes/,CAETÉS,1,P,1,,,TIRRI,"75,9",IRMAO NALDINHO,"13,65",,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-05065/2020,https://robertoalmeidacsc.blogspot.com/2020/10/joelma-campos-lidera-disputa-eleitoral.html,PANELAS,1,P,1,,,JOELMA CAMPOS,"52,66",RUBEN LIMA,"35,75",,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-03920/2020,https://girosertao.com.br/2020/10/10/eleicoesparnamirim-pe-pesquisa-da-empresa-naipes-encomendada-pela-oposicao-teve-sua-divulgacao-suspensa-pela-justica/,PARNAMIRIM,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-06317/2020,https://nilljunior.com.br/pedra-junior-vaz-tem-13-pontos-de-vantagem-sobre-osorio-filho-diz-multipla/,PEDRA,1,P,0,,,JUNIOR VAZ,"46,4",OSORIO FILHO,"35,6",,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-06317/2020,https://nilljunior.com.br/pedra-junior-vaz-tem-13-pontos-de-vantagem-sobre-osorio-filho-diz-multipla/,PEDRA,1,P,1,,,JUNIOR VAZ,"52,4",OSORIO FILHO,"39,2",,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-06932/2020,https://www.diariocidade.com/noticias/pesquisa-eleitoral/pesquisa-eleitoral-petrolina-outubro-eleicoes-2020-ipespe/,PETROLINA,1,P,,,,MIGUEL COELHO,71,ODACY AMORIM,10,JULIO LOSSIO FILHO,5,GABRIEL MENEZES,3,DR MARCOS,1,,,,,,,,,,,,,,,,,,,,,
PE-00009/2020,http://www.prefeituradearuja.sp.gov.br/Atos/EditaisLicitacao/PE/PE_00009_2020_RP_KIT%20ESCOLAR%20.pdf,RECIFE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-01772/2020,https://dimassantos.com.br/recife-joao-reage-mas-marilia-ganha-dele-no-segundo-turno/,RECIFE,1,P,0,,,JOAO CAMPOS,"11,1",MARILIA ARRAES,9,MENDONÇA FILHO,"6,5",DELEGADA PATRICIA,"3,4",,,,,,,,,,,,,,,,,,,,,,,
PE-01772/2020,https://dimassantos.com.br/recife-joao-reage-mas-marilia-ganha-dele-no-segundo-turno/,RECIFE,1,P,1,,,JOAO CAMPOS,"20,1",MARILIA ARRAES,"17,3",MENDONÇA FILHO,"14,6",PATRICIA,"12,3",MARCO AURELIO,"1,4",CORONEL FEITOSA,"1,3",,,,,,,,,,,,,,,,,,,
PE-06697/2020,https://www.claudionorcavalcante.com.br/2020/10/justica-manda-suspender-divulgacao-pesquisa-da-datavox-salgueiro-contratada-pelo-blog-edmar-lyra/,SALGUEIRO,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-02993/2020,https://nilljunior.com.br/savio-lidera-em-tuparetama-564-contra-345-de-deva-pessoa/,TUPARETAMA,1,P,0,,,SAVIO,55,DEVA PESSOA,"28,6",,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-02993/2020,https://nilljunior.com.br/savio-lidera-em-tuparetama-564-contra-345-de-deva-pessoa/,TUPARETAMA,1,P,1,,,SAVIO,"56,4",DEVA PESSOA,"34,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-03777/2020,https://www.douglascordeiro.com/noticias/politica/intencao-altos-carlinhos-43-14-maxwell-23-71-e-neto-13-14-11945.html,ALTOS,1,P,0,,,CARLINHOS LEAL,"33,17",MAXWELL DA MARINHA,"18,86",NETO DELMIRO,"8,29",,,,,,,,,,,,,,,,,,,,,,,,,
PI-03777/2020,https://www.douglascordeiro.com/noticias/politica/intencao-altos-carlinhos-43-14-maxwell-23-71-e-neto-13-14-11945.html,ALTOS,1,P,1,,,CARLINHOS LEAL,"43,13",MAXWELL DA MARINHA,"23,71",NETO DELMIRO,"13,14",,,,,,,,,,,,,,,,,,,,,,,,,
PI-01205/2020,https://portal300graus.blogspot.com/2020/10/parnaiba-mao-santa-tem-647-das.html,PARNAÍBA,1,P,1,,,MAO SANTA,"64,7",HELIO,"14,7",SAMARONNE,"1,3",,,,,,,,,,,,,,,,,,,,,,,,,
PI-07075/2020,https://portalcidademodelo.com/2020/10/nova-pesquisa-gil-lidera-em-picos-araujinho-se-aproxima/,PICOS,1,P,0,,,GIL PARAIBANO,"42,5",ARAUJINHO,"32,67",CORONEL VIANA,"2,83",,,,,,,,,,,,,,,,,,,,,,,,,
PI-07075/2020,https://portalcidademodelo.com/2020/10/nova-pesquisa-gil-lidera-em-picos-araujinho-se-aproxima/,PICOS,1,P,1,,,GIL PARAIBANO,"45,17",ARAUJINHO,"35,67",CORONEL VIANA,"4,33",,,,,,,,,,,,,,,,,,,,,,,,,
PI-04346/2020,https://www.folhadeoeiras.com/noticia/5258/Ubiratan-lidera-pesquisa-de-intencao-de-voto-em-Wall-Ferraz,WALL FERRAZ,1,P,0,,,UBIRATAN,"52,34",GUILHERME MAIA,"39,33",,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-05697/2020,https://grandepicos.com.br/2020/10/08/rivaldo-carvalho-lidera-disputa-pela-prefeitura-de-massape-do-piaui-veja-numeros/,MASSAPÊ DO PIAUÍ,1,P,0,,,RIVALDO CARVALHO,"52,5",DR WILTON,"37,81",,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-02167/2020,https://piauihoje.com/blogs/blog-do-fabio/fanuel-lidera-com-folga-a-disputa-eleitoral-pela-prefeitura-de-pio-ix-354239.html,PIO IX,1,P,1,,,FANUEL,"51,33",SILAS,39,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-05697/2020,https://grandepicos.com.br/2020/10/08/rivaldo-carvalho-lidera-disputa-pela-prefeitura-de-massape-do-piaui-veja-numeros/,MASSAPÊ DO PIAUÍ,1,P,1,,,RIVALDO CARVALHO,"53,13",DR WILTON,"37,81",,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-04346/2020,https://www.folhadeoeiras.com/noticia/5258/Ubiratan-lidera-pesquisa-de-intencao-de-voto-em-Wall-Ferraz,WALL FERRAZ,1,P,1,,,DR UBIRATAN,"53,67",GUILHERME MAIA,"39,33",,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-02990/2020,https://portalcantu.com.br/news/guaraniacu/pesquisa-revela-intencao-de-voto-para-prefeito-na-cidade,GUARANIAÇU,1,p,1,,,OSMARIO PORTELLA,49,RONALDO CAZELLA,"31,8",PAULO FIN,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,
PR-08235/2020,https://www.folhadelondrina.com.br/folha-eleicoes/eleicoes-2020/pesquisa-aponta-tendencia-de-vitoria-de-belinati-no-primeiro-turno-3020516e.html,LONDRINA,1,P,0,,,MARCELO BELINATI,34,BOCA ABERTA,6,BARBOSA NETO,"1,7",CARLOS SCALASSARA,"1,3",,,,,,,,,,,,,,,,,,,,,,,
PR-08235/2020,https://www.folhadelondrina.com.br/folha-eleicoes/eleicoes-2020/pesquisa-aponta-tendencia-de-vitoria-de-belinati-no-primeiro-turno-3020516e.html,LONDRINA,1,P,1,,,MARCELO BELINATI,"43,2",BOCA ABERTA,"23,2",BARBOSA NETO,"4,1",TIAGO AMARAL,"3,6",CARLOS SCALASSARA,"2,3",JUNIOR SANTOS ROSA,"1,8",DELEGADO AGUILA MISUTA,"1,4",,,,,,,,,,,,,,,,,
PR-04937/2020,https://www.esmaelmorais.com.br/2020/10/pr-pesquisa-maringa-pr-ulisses-maia-414-dr-batista-111/,MARINGÁ,1,P,1,,,ULISSES MAIA,"41,4",DR BATISTA,"11,1",HOMERO MARCHESE,"10,4",AKEMI NISHIMORI,"4,2",CORONEL AUDILENE,"3,2",BOVO,"2,1",ANNIBAL BIANCHINI,"1,7",VALDIR PIGNATA,"1,7",PROFESSOR EDMILSON,"1,5",CARLOS MARIUCCI,"1,4",ROGERIO CALAZANS,"1,3",EVANDRO DE FREITAS,"1,1",,,,,,,
PR-04937/2020,https://www.gazetadopovo.com.br/eleicoes/2020/pesquisa-eleitoral/parana/parana-pesquisas-prefeito-maringa-parana-outubro-2020/,MARINGÁ,1,P,0,,,ULISSES MAIA,"21,5",HOMERO MARCHES,"4,2",DR BATISTA,"1,8",,,,,,,,,,,,,,,,,,,,,,,,,
PR-05412/2020,http://www.guiamedianeira.com.br/noticia/27691/Primeira+pesquisa+eleitoral+para+prefeito+de+Medianeira+e+divulgada,MEDIANEIRA,1,P,0,,,DR TOMAS,"34,3",DR FERNANDO SANTIN,"11,7",ANTONIO FRANÇA,11,RICARDO ENDRIGO,"4,3",NEGUINHO GRASSI,"3,3",ELIAS CARRER,"2,3",EVANDRO MEES,"2,3",LIONEZ MARIA MAINO,2,,,,,,,,,,,,,,,
PR-05412/2020,http://www.guiamedianeira.com.br/noticia/27691/Primeira+pesquisa+eleitoral+para+prefeito+de+Medianeira+e+divulgada,MEDIANEIRA,1,P,1,,,DR TOMAS,40,DR FERNANDO SANTIN,"15,3",ANTONIO FRANÇA,15,LIONEZ MARIA MAINO,"2,3",,,,,,,,,,,,,,,,,,,,,,,
RN-07046/2020,https://www.blogdobg.com.br/pesquisa-bg-seta-assu-prefeito-gustavo-soares-tem-452-e-ivan-junior-tem-335/,ASSÚ,1,P,1,,,DR GUSTAVO,"45,2",IVAN JUNIOR,"33,5",LUIZ DA FUNERARIA,"3,1",,,,,,,,,,,,,,,,,,,,,,,,,
RN-07046/2020,https://aluiziodecarnaubais.blogspot.com/2020/10/bia-dantas-foi-bem-avaliada-na-pesquisa.html,ASSÚ,0,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-00358/2020,https://www.blogdobg.com.br/pesquisa-bg-consult-alexandria-prefeito-espontanea-coloca-jeane-com-54-e-david-com-22/,ALEXANDRIA,1,P,0,,,JEANE FERREIRA,54,DAVID ABRANTES,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-01890/2020,http://www.portalcostabranca.com/2020/10/pesquisa-para-prefeito-mostra-que.html,TIBAU,1,P,0,,,LIDIANE,"51,3",HAROLDO,29,NALDINHO,2,,,,,,,,,,,,,,,,,,,,,,,,,
RN-01890/2020,http://www.portalcostabranca.com/2020/10/pesquisa-para-prefeito-mostra-que.html,TIBAU,1,P,1,,,LIDIANE,"53,7",HAROLDO,"29,7",,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-00266/2020,https://blogafonte.com.br/2020/10/07/pesquisa-aponta-aprovacao-de-725-e-lideranca-de-marina-em-jandaira/,JANDAÍRA,1,P,,,,MARINA,"63,8",WDAGNO,"24,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-04756/2020,https://carlosfelipeofera.com/2020/10/06/sao-jose-do-serido-coligacao-da-prefeita-miuda-entra-com-liminar-e-divulgacao-de-pesquisa-e-temporariamente-suspensa/,SÃO JOSÉ DO SERIDÓ,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-02849/2020,https://www.sppnews.com.br/2020/10/pesquisa-seta-em-sao-paulo-do-potengi.html,SÃO PAULO DO POTENGI,1,p,1,,,PACELLI SOUTO,"48,8",IVAN DANTAS,"37,9",,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-02849/2020,https://williams-rocha.blogspot.com/2020/10/eleicoes-2020-pesquisa-bgsetasao-paulo.html,SÃO PAULO DO POTENGI,0,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-06649/2020,https://www.blogdobg.com.br/pesquisa-bg-seta-sao-rafael-prefeito-reno-tem-446-das-intencoes-de-voto-contra-361-de-arimateia/,SÃO RAFAEL,1,P,1,,,RENO MARINHO,"44,6",JOSE DE ARIMATEIA,"36,1",LAZARO,"7,9",,,,,,,,,,,,,,,,,,,,,,,,,
RN-07643/2020,https://carlosfelipeofera.com/,SÃO VICENTE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RO-08666/2020,https://www.vilhenanoticias.com.br/destaques/coronel-rildo-e-rosani-crescem-em-nova-pesquisa-eleitoral-em-vilhena/,VILHENA,1,P,1,,,EDUARDO JAPONES,"40,1",ROSANI DONADON,"30,7",CORONEL RILDO,"10,7",PAULINHO DA ARGAMAZON,"6,9",MIGUEL CAMARA,"1,9",,,,,,,,,,,,,,,,,,,,,
RO-02839/2020,"http://www.oobservador.com.br/noticias/valteir-queiroz-lidera-intencao-de-votos-para-prefeito-de-candeias-do-jamari,49085.shtml",CANDEIAS DO JAMARI,1,P,,,,VALTEIR QUEIROZ,"29,26",LUCIVALDO PATRICIO,"19,79",GRINGO DA EMATER,"10,5",,,,,,,,,,,,,,,,,,,,,,,,,
RO-05712/2020,https://rondoniaurgente.com/2020/10/11/dico-lidera-intencoes-de-voto-em-buritis/,BURITIS,1,P,1,,,DICO,"33,3",RONI IRMAOZINHO,18,NILSON BURITIS,"12,8",PROF EVANILDO,"10,2",HELTON VAGNO,5,,,,,,,,,,,,,,,,,,,,,
RR-03646/2020,https://folhabv.com.br/noticia/POLITICA/Eleicoes-2020/Pesquisa-eleitoral-aponta-intencao-de-votos-em-Bonfim/69559,BONFIM,1,P,1,,,JONER CHAGAS,"68,15",DARLENE TIRIRICA,"10,27",NANDO MACEDO,"7,88",MAQUILES MOTA,"3,77",,,,,,,,,,,,,,,,,,,,,,,
RS-04271/2020,https://agoranors.com/2020/10/pesquisa-methodus-manuela-tem-22-melo-e-fortunati-13-e-marchezan-6/,PORTO ALEGRE,1,P,1,,,MANUELA D'AVILA,"22,2",SEBASTIAO MELO,"12,9",JOSE FORTUNATI,"12,6",NELSON MARCHEZAN,"6,5",JULIANA BRIZOLA,"5,8",FERNANDA MELCHIONNA,"2,5",JOAO DERLY,"2,3",GUSTAVO PAIM,2,,,,,,,,,,,,,,,
RS-04271/2020,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADtica/elei%C3%A7%C3%B5es/pesquisa-methodus-aponta-como-est%C3%A1-a-disputa-pela-prefeitura-de-porto-alegre-1.495268,PORTO ALEGRE,1,P,0,,,MANUELA D'AVILA,"9,3",SEBASTIAO MELO,"5,9",NELSON MARCHEZAN,"3,3",JOSE FORTUNATI,"3,3",FERNANDA MELCHIONNA,1,,,,,,,,,,,,,,,,,,,,,
RS-00576/2020,http://gis.proviasnac.gob.pe/pesajes/bonificaciones/lista_bonificaciones.asp?paginaactual=4&s_id_periodo=2020&s_id_tregistro=SIS,SÃO LEOPOLDO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-06835/2020,http://www.leai.com.br/politica/sirlei-e-nelson-martins-estao-em-primeiro-lugar-na-pesquisa-3004,TAQUARA,1,P,,,,PROFESSORA SIRLEI,"35,6",DR HELINHO,"26,4",CARMEM,"11,6",FIFI,8,,,,,,,,,,,,,,,,,,,,,,,
SC-01561/2020,https://br.financas.yahoo.com/noticias/ibope-atual-prefeito-florian%C3%B3polis-lidera-233502854.html,FLORIANÓPOLIS,1,P,,,,GEAN LOUREIRO,44,ANGELA AMIN,15,PEDRAO,9,PROFESSOR ELSON,7,ALEXANDER BRASIL,1,DR RICARDO,1,GABRIELA SANTETTI,1,HELIO BAIRROS,1,JAIR FERNANDES,1,ORLANDO,1,,,,,,,,,,,
SC-03502/2020,https://www.facebook.com/HoraDeBombinhas/posts/4295151197225969,ITAPEMA,1,P,1,,,NILZA,55,MATIOLO,3,CORONEL FERES,4,ANDRE DE OLIVEIRA,11,,,,,,,,,,,,,,,,,,,,,,,
SC-03502/2020,https://www.facebook.com/HoraDeBombinhas/posts/4295151197225969,ITAPEMA,1,P,0,,,NILZA,43,MATIOLO,3,CORONEL FERES,2,ANDRE DE OLIVEIRA,6,,,,,,,,,,,,,,,,,,,,,,,
SE-02812/2020,https://www.nenoticias.com.br/ibope-edvaldo-32-danielle-21/,ARACAJU,1,P,1,,,EDVALDO NOGUEIRA,32,DELEGADA DANIELLE,21,RODRIGO VALADARES,6,MARCIO MACEDO,5,LUCIO FLAVIO,3,ALMEIDA LIMA,3,GEORLIZE,3,ALEXIS PEDRAO,2,PAULO MARCIO,1,,,,,,,,,,,,,
SE-09092/2020,https://www.nenoticias.com.br/veja-pesquisa-para-prefeito-de-boquim/,BOQUIM,1,P,,,,ERALDO ANDRADE,"43,5",PEDRO BARBOSA,"25,83",GILTON TONHO DE GILENO,"9,83",,,,,,,,,,,,,,,,,,,,,,,,,
SE-06894/2020,https://www.lagartonoticias.com.br/2020/10/05/alem-de-fabio-reis-em-lagarto-mdb-disputa-mais-18-prefeituras-em-sergipe/,CAPELA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-03628/2020,https://www.lagartonoticias.com.br/2020/10/06/eleicoes-2020-candidato-a-prefeito-pode-desistir-e-apoiar-outra-candidatura/,JAPARATUBA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-09023/2020,http://inter03.tse.jus.br/dje-rest/rest/downloadDiario?tribunal=SE&numDiario=181&anoDiario=2020,LAGARTO,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-02227/2020,https://www.nenoticias.com.br/pesquisa-dataform-confirma-lideranca-absoluta-de-juca/,LARANJEIRAS,1,P,1,,,JUCA,"32,84",ZE BODEGA,"12,94",ALEXANDRE SOBRAL,"9,2",PAULAO DA VARZINHAS,"4,98",DENINHA ALMEIDA,"3,98",ALESSANDRO CANELA,"3,73",,,,,,,,,,,,,,,,,,,
SE-01539/2020,https://www.interiorpolitica.com.br/1174,SALGADO,1,P,1,,,IVAN DO ONIBUS,"51,3",GIVANILDO COSTA,"25,4",GIDELSON SANTANA,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,
SE-01073/2020,https://www.lagartonoticias.com.br/2020/10/06/eleicoes-2020-candidato-a-prefeito-pode-desistir-e-apoiar-outra-candidatura/,MONTE ALEGRE DE SERGIPE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-01539/2020,https://www.interiorpolitica.com.br/1174,SALGADO,1,P,0,,,IVAN DO ONIBUS,40,GIVANILDO COSTA,"18,7",GIDELSON SANTANA,"1,8",,,,,,,,,,,,,,,,,,,,,,,,,
SP-04283/2020,https://www.facebook.com/fabiomanfrinatobauru/posts/1425847247621349,BAURU,1,P,1,,,DR RAUL,28,GAZZETA,8,EDU AVALLONE,5,LUIZ C VALLE,5,SUELLEN ROSIM,4,,,,,,,,,,,,,,,,,,,,,
SP-05859/2020,http://www.caieiraspress.com.br/noticias.php?id=3892,CAIEIRAS,1,P,,,,GERSINHO,35,LAGOINHA,29,PROFESSOR FRANCO,5,JUAREZ DIAS,2,,,,,,,,,,,,,,,,,,,,,,,
SP-02778/2020,https://www.blogrobertomoreira.com/2020/10/pesquisa-ibope-em-campinas-rafa.html,CAMPINAS,1,P,1,,,RAFA ZIMBALDI,23,DR HELIO,11,DELEGADA TERESINHA,7,ARTUR ORSI,6,DARIO SAADI,6,PEDRO TOURINHO,6,ALESSANDRA RIBEIRO,3,ANDRE VON ZUBEN,2,PROF. AHMED TARIQUE,2,ROGERIO MENEZES,1,LAURA LEAL,1,ROGERIO PARADA,1,WILSON MATOS,1,,,,,
SP-02778/2020,https://www.blogrobertomoreira.com/2020/10/pesquisa-ibope-em-campinas-rafa.html,CAMPINAS,1,P,0,,,RAFA ZIMBALDI,6,DR HELIO,4,PEDRO TOURINHO,3,ARTUR ORSI,2,ALESSANDRA RIBEIRO,1,ANDRE VON ZUBEN,1,DARIO SAADI,1,DELEGADA TERESINHA,1,,,,,,,,,,,,,,,
SP-03623/2020,https://www.gazetadopovo.com.br/eleicoes/2020/pesquisa-eleitoral/prefeito-campinas-sp-parana-pesquisas-outubro-2020/,CAMPINAS,1,P,,,,RAFA ZIMBALDI,"20,4",DR HELIO,"11,9",ARTUR ORSI,"10,6",DARIO SAADI,"10,1",DELEGADA TERESINHA,"8,5",PEDRO TOURINHO,"5,6",ANDRE VON ZUBEN,"2,9",ALESSANDRA RIBEIRO,"1,6",WILSON MATOS,1,,,,,,,,,,,,,
SP-04755/2020,https://www.facebook.com/AmigosDoWandao/posts/188409792923935,CAMPINAS,1,P,1,,,RAFA ZIMBALDI,18,DARIO SAADI,10,PEDRO TOURINHO,7,DELEGADA TERESINHA,6,DR HELIO,6,,,,,,,,,,,,,,,,,,,,,
SP-06538/2020,https://novodia.digital/2020/10/em-franco-da-rocha-dr-nivaldo-lidera-pesquisa-com-folga/,FRANCO DA ROCHA,1,P,1,,,DR NIVALDO,23,VALDIR,16,DIEGO HERNANDEZ,11,PABLO CUNHA,9,EDUARDO BUENO,2,PROFESSOR EDMILSON,2,JOAO MIGUEL,2,,,,,,,,,,,,,,,,,
SP-06538/2020,https://novodia.digital/2020/10/em-franco-da-rocha-dr-nivaldo-lidera-pesquisa-com-folga/,FRANCO DA ROCHA,1,P,0,,,KIKO CELEGUIM,11,DR NIVALDO,"10,8",,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-03413/2020,https://guarulhosonline.com.br/destaque/nova-pesquisa-eleitoral-reafirma-confronto-entre-guti-e-pieta-para-prefeitura-de-guarulhos/,GUARULHOS,1,P,1,,,ELOI PIETA,26,GUTI,23,FRAN CORREA,4,ADIANA AFONSO,3,SIMONE CARLETO,2,JOVINO CANDIDO,1,PROFESSORA SANDRA SANTOS,1,PROFESSOR AURIEL,1,RODRIGO TAVARES,1,WAGNER FREITAS,1,EDUARDO BARRETO,1,NEFI TALES FILHO,1,,,,,,,
SP-05662/2020,https://grudiario.com.br/instituto-kadoshi-aponta-empate-tecnico-entre-guti-e-pieta-na-eleicao-municipal/,GUARULHOS,1,P,,,,ELOI PIETA,"19,2",GUTI,"17,3",FRAN CORREA,"2,5",WAGNER FREITAS,"2,2",ADRIANA AFONSO,"1,7",JOVINO CANDIDO,"1,2",NEFI TALES,"1,2",RODRIGO TAVARES,"1,2",,,,,,,,,,,,,,,
SP-04331/2020,https://www.santaportal.com.br/noticia/65674-empate-tecnico-tambem-em-itanhaem-tiago-cervantes-e-cris-forssell-no-topo-da-pesquisa-em-itanhaem,ITANHAÉM,1,P,0,,,CRIS FORSSELL,"15,2",TIAGO RODRIGUES,"13,4",CAPITAO GALVAO,"3,9",MARCELO STRAMA,"1,9",MARCO AURELIO,"1,2",,,,,,,,,,,,,,,,,,,,,
SP-04331/2020,https://www.santaportal.com.br/noticia/65674-empate-tecnico-tambem-em-itanhaem-tiago-cervantes-e-cris-forssell-no-topo-da-pesquisa-em-itanhaem,ITANHAÉM,1,P,1,,,TIAGO RODRIGUES,"20,8",CRIS FORSSELL,"19,8",MARCELO STRAMA,"7,4",CAPITAO GALVAO,"5,8",WILTON BRITO,"1,6",PAULO MUNHOZ,"1,5",POLIANA FE,"1,3",,,,,,,,,,,,,,,,,
SP-05939/2020,https://www.reporternaressi.com.br/noticias/leme-wagao-lidera-corrida-eleitoral-em-leme-com-475-das-intencoes-de-voto.html,LEME,1,P,,,,WAGAO,"47,5",PAULINHO VALLENCA,"21,82",CAPITAO RONEY,"6,14",ANDREA MONDIM,"3,41",OSMAR FICK,"1,36",,,,,,,,,,,,,,,,,,,,,
SP-04500/2020,https://noticias.r7.com/eleicoes-2020/limeira-sp-tem-empate-triplo-na-corrida-a-prefeitura-diz-pesquisa-07102020,LIMEIRA,1,P,1,,,MURILO FELIX,19,MARIO BOTION,14,DRA MAYRA,12,RAFAEL CAMARGO,9,WILSON CERQUEIRA,6,MARCIO PAIXAO,5,ELISEU DANIEL,4,CLAYTON SILVA,1,LIVIA LAZANEO,1,PAULO MORAIS,1,,,,,,,,,,,
SP-03753/2020,https://www.facebook.com/jornaldeterrapreta/posts/3624602620884463,MAIRIPORÃ,1,P,,,,AIACYDA,"35,22",ALADIM,"33,39",MAJOR PAULO,"9,47",DONA FRANCISCA,"2,49",JOSE HELIO,"1,5",MANOELINO CORDEIRO,"1,5",,,,,,,,,,,,,,,,,,,
SP-08713/2020,https://www.santaportal.com.br/noticia/65684-em-mongagua-marcio-cabeca-e-rodrigo-casabranca-dividem-a-lideranca-veja-os-numeros,MONGAGUÁ,1,P,0,,,MARCIO CABECA,"22,5",RODRIGO CASABRANCA,"20,6",RENATO DONATO,"3,1",,,,,,,,,,,,,,,,,,,,,,,,,
SP-08713/2020,https://www.santaportal.com.br/noticia/65684-em-mongagua-marcio-cabeca-e-rodrigo-casabranca-dividem-a-lideranca-veja-os-numeros,MONGAGUÁ,1,P,1,,,MARCIO CABECA,"30,3",RODRIGO CASABRANCA,29,RENATO DONATO,"7,4",MARCELO CONCEICAO,"1,6",ANTONIO TIMOTEO,"1,3",,,,,,,,,,,,,,,,,,,,,
SP-05472/2020,https://noticias.r7.com/eleicoes-2020/osasco-sp-rogerio-lins-tem-34-emidio-tem-9-diz-pesquisa-07102020,OSASCO,1,P,1,,,ROGERIO LINS,34,EMIDIO DE SOUZA,9,DR LINDOSO,6,MARCO SOUZA DATENINHA,2,DR GASPAR,1,REINALDO MOTA,1,SIMONY DOS ANJOS,1,,,,,,,,,,,,,,,,,
SP-00682/2020,https://www.santaportal.com.br/noticia/65673-luiz-mauricio-e-emer-tem-empate-tecnico-na-nova-rodada-da-pesquisa-santa-ceciliabadra-para-peruibe,PERUÍBE,1,P,0,,,LUIZ MAURICIO,"11,6",EMER,"10,4",ALEX MATOS,"5,2",CABO ANDERSON,"4,7",BARROS,"2,4",GILSON BARGIERI,"1,3",KAIO LIMA,1,,,,,,,,,,,,,,,,,
SP-00682/2020,https://www.santaportal.com.br/noticia/65673-luiz-mauricio-e-emer-tem-empate-tecnico-na-nova-rodada-da-pesquisa-santa-ceciliabadra-para-peruibe,PERUÍBE,1,P,1,,,LUIZ MAURICIO,"17,3",EMER,"16,1",ALEX MATOS,"9,2",CABO ANDERSON,"7,2",BARROS,"5,4",KAIO LIMA,"1,9",JANAINA CORREA,"1,4",GILBERTO GIBA,"1,2",,,,,,,,,,,,,,,
SP-04932/2020,https://www.atribunapiracicabana.com.br/2020/10/05/caldeirao-de-piracicaba-93/,PIRACICABA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
